info,author,headline,article_text
"
				17 February 2014
				10:19 CET+01:00			 
					10:19 CET+01:00				",TT/The Local/og,Migrants evicted from Stockholm camp site,"
Officials evicted all remaining Romanian migrants from a campsite in southern Stockholm on Monday morning, just days after over 100 campers were given a free bus ride home.  

	 

	The Swedish Enforcement Agency (Kronofogden) carried out the eviction in Högdalen, a suburb in the southern reaches of Stockholm, at 9am on Monday, just days after a bus load of the campers went home.

	 

	""All I know is that it's more or less empty,"" Henrik Brånstad, spokesman at the agency, told the TT news agency. ""Many have apparently moved to other places while others have jumped at the chance of a bus ride home to Romania.""

	 

	Over 100 EU-migrants accepted the bus tickets home, many of whom had earned money begging in the Swedish capital. One of the buses crashed in southern Sweden on Sunday morning on the way to Bucharest. Only the driver was injured.

	 

	Several of the migrants, many of whom are Roma, said they plan to come back to Sweden soon. One woman told the Aftonbladet newspaper that she had nothing to go home to in Romania. 

	 

	""We're planning to come back in two or three weeks,"" she told the paper.

	 

	In Borås, central Sweden, around 40 Romanians accepted a bus ride home in December last year. Many of them were back again in January, reported the TT news agency.

	 

	Anna Johansson at Swedish charity Stockholms Stadsmission has recently been in Romania and isn't surprised that people choose to return to Sweden. 

	 

	""They realize that there are better opportunities to support themselves here,"" she said.

	 

	She added that her organization was working hard to help, and pointed to Oslo's successful provision of a magazine for Romanians to sell, similar to the Situation Stockholm paper sold by homeless people in Sweden's capital.
"
"
				2 August 2015
				16:03 CEST+02:00			 
					16:03 CEST+02:00				", The Local,Sweden critical of UK policy on Calais migrants,"
The Swedish justice and migration minister, Morgan Johansson, has accused David Cameron of ""playing politics"" with the migrant crisis in Calais. 

	The situation in Calais showed ""a system that is breaking down"", he told BBC Radio 4's World This Weekend, adding: ""I see a country who don't want to take the responsibility that they should”.

	Migrants in Calais are making nightly bids to cross the Channel.

	The UK and French governments have announced they will bolster security around the Eurotunnel site in Calais.

	Mr Johansson was critical of Mr Cameron's rhetoric: ""I hear what he is saying about 'illegal immigrants' and 'swarms' and I think he is trying to divide people, that that is not a constructive way.""

	Speaking to BBC Radio 4's The World This Weekend programme, Mr Johansson criticised Mr Cameron for using the word ""illegal"" about asylum seekers before they have been through asylum the process, and said they were seeking a basic human right.

	Sweden was currently accepting around 1,000-1,200 asylum applicants a week, Johansson said.

	Since 2013, Sweden has thrown its doors open to Syrians, granting them near automatic residency and boosting overall asylum applications -- the highest per capita in the EU according to Eurostat -- to record levels.

	Last year Sweden accepted 30,000 asylum seekers compared to the UK's 10,000.

	Thousands of migrants have attempted to access the Eurotunnel terminal in the last week, and nine have died trying to access the tunnel since the start of June.
"
"
				12 May 2015
				07:33 CEST+02:00			 
					07:33 CEST+02:00				",Maddy Savage,Sweden backs migrant ‘sharing’ EU proposals,"
Plans to force wealthy European nations such as the UK to take in more refugees have been backed by Sweden, which currently takes in more asylum seekers per capita than any other EU nation. 

	Proposals to ensure a more balanced spread of refugees across the EU are expected to be put forward by the European Commission in Brussels on Wednesday, alongside plans to increase legal means for migrants to travel to Europe.

	The move, first reported in Britain’s The Times newspaper on Monday, aims to create legislation that would force all 28 member states to share responsibility for “mass influxes” of non-EU migrants during times of emergency.

	Sweden’s Justice and Migration Minister Morgan Johansson has told The Local that he is “looking forward” to seeing the full Commission Agenda on the issue, and said media reports already suggest the EU’s policy-making body is “on the right track” at a time when “it is clear we have to improve the responsibility sharing within the Union”.

	Sweden dealt with more than 81,410 asylum cases between March 2014 and March 2015, while Germany processed the greatest number in the EU: 247,635. By contrast, the UK dealt with 29,340, while the figure for Netherlands was 23,780. 

	“Our Common European Asylum System is not very common in a situation where a handful of Member States are taking the responsibility for over 90 percent of the asylum seekers,” he said late on Monday.

	“For the Common European Asylum System to be sustainable in the long run, a more even distribution of asylum seekers within the EU is needed.”

	Italy and Austria are among the other member states backing the proposals, while a spokesperson for the UK Home Office told The Times that Prime Minister David Cameron’s new Conservative government “will oppose any EU proposals to introduce a non-voluntary quota”.

	“Mad and unfair” was the description Hungary’s Prime Minister Viktor Orban gave to the plan.

	Germany is strongly in favour of the idea, having long pushed for quotas, while France’s Interior Minister Bernard Cazeneuve also came out in support of the proposals on Monday.

	“I think it is normal to share out the asylum claimants,” he said.

	Under the reported proposals, the number of refugees sent to each EU country would in future be determined according to a formula which considers factors such as unemployment, economic performance, population size and the number of previous arrivals.

READ ALSO: The Local goes inside Sweden's largest immigration centre

	It is estimated that more than 5000 migrants have died over the past year while making their way to Europe from war-torn nations such as Syria, Iraq and Libya, in packed boats travelling in dangerous conditions.

	Sweden’s Justice and Migration Minister Morgan Johansson told The Local that he also backed the Commission’s proposals to secure a safer passage to Europe for refugees.

	“The lack of regular channels to seek protection fuels smuggling,"" he said.

	“Therefore we need to see a substantial increase in the use of resettlement on an EU-level. Sweden also wants the EU Commission to investigate other realistic possibilities for people to seek protection in the EU.”

	In the meantime, Sweden is continuing to prepare itself for new arrivals. 

Fifteen thousand more asylum places are expected to be needed in the Nordic country this year. To cope with an increasing flow of refugees, the Swedish Migration Board announced in March that it has more than tripled the maximum number of residents allowed at each asylum centre in the nation from 200 to 650.

	EU leaders are set to discuss the quota proposals in Brussels when they meet on June 25th.
"
"
				8 August 2015
				13:41 CEST+02:00			 
					13:41 CEST+02:00				",TT/The Local,Two migrants injured in camping site attack,"
Two migrants from the EU were injured and four caravans burned when a camping site in Gothenburg was attacked early on Saturday. Police are now searching for a man suspected of arson and serious assault.  

	“A woman reported that an unknown man, thought to have been armed with a machete, began hacking through a tent in which she was sleeping,” Thomas Fuxborg, spokesman for the police in Västra Götaland, told the TT news agency. “She was cut on her hand before the man reportedly poured a liquid on the tent and set it on fire.”

	The woman’s screams woke others in the camping site. A man who came out of his caravan was attacked as well.

	“He said the culprit, likely in his 30s, hit him on the head with a hammer or rod before running away from the site,” said Fuxborg.

	According to police, three caravans were completely destroyed by fire and a fourth damaged. None of the victims required medical attention.

	Police have found clues in the case, namely a backpack and a hammer which are being analysed.

	They are now searching for the man, who is suspected of arson and two cases of serious assault.

	At the time of the attacks, 11 people were at the camping site.  
"
"
				16 February 2014
				09:28 CET+01:00			 
					09:28 CET+01:00				", The Local,Evicted migrants in serious bus crash,"
A bus carrying 43 Romanian migrants back to Bucharest crashed in the early hours of Sunday morning in southern Sweden, after they had been evicted from a shanty town in Stockholm. 
  The accident took place in Alvesta when the bus veered off the national highway 27 shortly after midnight. One person, understood to be the bus driver, was seriously injured and spent the night in a local hospital although his injuries are not considered life threatening.    ""It is very, very slippery on the roads in this area. It is completely icy which may have been a cause of the accident,"" local policeman Percy Nilsson told the Expressen newspaper.   The other passengers spent the night in a hotel where a spokesperson said they were in shock following the crash.   ""They are very shocked by the situation,"" EU migrant contact person Bienvenido Flores told Aftonbladet.   Earlier in the day the bus had set off from Stockholm en route for the Romanian capital. The passengers had been living in a shanty town in Högdalen and were set to be evicted on Monday by the Swedish Enforcement Authority (Kronofogden).
  Following the eviction notice social services offered to provide a free bus ticket to the migrants back to Romania. Newspaper Expressen reported that 90 EU migrants had accepted the complimentary bus ticket home.   After the crash the passengers were picked up by a second bus and driven to Växjö to a local hotel. A police spokesperson said that the Romanian migrants will continue their trip on Sunday.   ""The travel company will organise a new bus for them on Sunday,"" added policeman Percy Nilsson.   Earlier on Saturday a clean up operation in Högdalen had got underway.    The Local/pr "
"
				18 July 2017
				06:59 CEST+02:00			 
					06:59 CEST+02:00				", The Local,Refugees welcome? How UK and Sweden compare on education for young migrants,"
OPINION: The UK should learn from Sweden when it comes to educating young immigrants, argues Nottingham University's Joanna McIntyre in this opinion piece first published by The Conversation. 

	In the UK, the world’s fifth richest economy, vulnerable children are being denied education. Asylum seekers and refugee children are struggling to access education – and unable to attend school or college. This contravenes rights to equal educational access in accordance with international human rights law.

	I’m currently working on research projects about child refugees, one of which compares experiences of children in the UK with those arriving in Sweden – and I am concerned that the UK education system is not currently fit for purpose or able to provide adequate schooling for every child.

	The fact of the matter is that refugee children should be resettled in the UK. It is quite simply the right thing to do for obvious humanitarian reasons. As Ghandi observed: ""The true measure of any society can be found in how it treats its most vulnerable members.""

	Lessons should be learned from countries such as Sweden, where more inclusive practices are already in place. It should also be considered how education policies and practices are working against schools and teachers who want to welcome refugees but who are unable to.


A Swedish for Immigrants class in Täby. Photo: Fredrik Sandberg/TT

Hassan's story

	Take Hassan, he’s 15 and Iranian, and I met him at an arts workshop for recently arrived child refugees in the UK. Hassan had been in the UK for four months and did not yet have a school place.

	His age is the first barrier when it comes to an education. This is because Hassan should be in year 11 – GCSE year – which means a school could be reluctant to take him because he is unlikely to have sufficient preparation time for exams.

	Teachers are also under massive amounts of pressure to deliver outcomes to boost their school’s progress scores and performance in league tables. And new arrivals such as Hassan – regardless of their prior attainment and experience – are unlikely to be able to adjust to the English school culture and absorb the content and skills required to pass high stakes examinations in the remaining months of year 11.

	The second barrier is language. When we met, Hassan had a friend translating. And until he has a school place, Hassan will be reliant on the support of volunteer groups for English language lessons.

	There is another practical barrier, too – Hassan had a letter from his local authority (which he carries with him) saying there are three potential schools for him. But none are near Hassan’s home, and two of the schools are two bus rides away.


Young refugees arriving in Sweden in the autumn of 2015. Photo: Johan Nilsson/TT

Navigating the system

	If Hassan isn’t successful in finding a school place in 40 days, his case will appear before what’s known as a Fair Access Panel. This will allocate a place to Hassan and there will be a further period of time when the school can appeal this decision.

	Should he find a place, the school, undoubtedly worried about balancing budgets and managing limited resources, will decide which class to put him in, which subjects, and which sets. He might also attend an intervention programme to develop his English and help him access the curriculum, but such places are limited.

	More likely, Hassan will be placed in a mainstream classroom and given in-house language support – which will mean withdrawal from some lessons. He will probably also be placed in lower sets because his English will mask his real ability.

	These decisions will have short, and maybe, longer term implications for Hassan’s prospects and for the friendship groups he develops.


Children's books in different languages in a Swedish library. Photo: Christine Olsson/TT

The Swedish way

	But until Hassan gets a school place, he is stuck. He reached the UK but is unable to begin making a new life because he cannot access the support the education system should be able to offer him. And if this is still the case after the age of 16, his experiences are likely to be worse because places in post 16 provision are often even more limited.

	But had Hassan landed in Sweden, he and his family would access two hours daily of Swedish language tuition – as part of their residence permit. In school, Hassan would also receive two hours teaching per week in his home language.

	This reflects research which shows that when it comes to language learning, a bilingual environment is most successful. This means a child’s first language is continued to enable them to learn a second or third language more quickly.

	In Sweden, Hassan’s local school would also commit to enrol him as quickly as possible. Often within a fortnight of arriving in the country.

	Like Sweden, schools in the UK should also be inclusive spaces that offer education for all rather than just for league tables. This is important because young refugees are likely to complete their education in their new country – becoming full members of their “post-settlement” society.

So instead of restricting access to education, the UK should instead recognise the potential of these children and welcome them in its schools as they begin their new lives.

Joanna McIntyre, Associate Professor of Education, University of Nottingham

This article was originally published on The Conversation. Read the original article.


"
"
				16 July 2015
				16:54 CEST+02:00			 
					16:54 CEST+02:00				", The Local,Nordic tourists shun bag offer to help migrants,"
Thousands of tourists from Sweden and Denmark have been invited to donate to migrants arriving on Mediterranean islands by checking in an extra bag of unwanted clothes, but less than 30 are believed to have taken up the offer. 

	Nordic tour operators including Ving and Spies have emailed thousands of customers scheduled to take charter flights operated by Thomas Cook Airlines Scandinavia from Stockholm's Arlanda Airport and Copenhagen Airport since June.

	 

	The tourists have been offered the chance to pack a box or unwanted bag weighing up to 20 kilos, containing clothes, blankets or toys they no longer need. The idea is that their donations will then be passed on to some of the thousands of migrants crossing the Mediterranean sea and arriving on the Greek islands of Kos and Lesvos, which are also hotspots for holidaymakers.

	 

	But on Thursday a spokesperson for Ving told The Local that only ""less than 10 people"" from Sweden had taken the opportunity to make a donation over the past six weeks, despite the firm sending out 1500 messages to Swedish passengers.

	 

	Earlier in the week Danish newspaper BT suggested that around 20 passengers flying out of Copenhagen had put extra bags on to Thomas Cook flights and Ving said that ""about 20"" other people had booked to take extra luggage to Lesbos on a flight leaving the Danish capital on Sunday.

	 

	""We would really like to help,"" Magdalena Öhrn, Ving's press spokesperson said.

	 

	""We are just offering an opportunity to people and I am happy that 20 people have done it. Even a small help is a help,"" she added.

	 

	But Öhrn told The Local she hoped that ""many more people"" would get involved in the coming months, with the initiative scheduled to run until at least September.

	 

	""We have the aeroplanes and other people have things they do not need any more, so it is a good thing,"" she said.

	 

	Öhrn added that all donated bags would be thoroughly checked as usual to ensure there is no security risk to other passengers and said that customers' bags would be prioritized in the event of too much extra luggage filling the plane.

	 

	""If there are any problems the extra bags will just go on the next flight,"" she explained.

	 

	Kos and Lesvos have been inundated with refugees from Syria and Afghanistan in recent months, with thousands of people making dangerous journeys across the Mediterranean in order to reach the European Union.

	 

	The move represents a major shift in migration patterns with almost as many migrants now choosing Greece instead of Italy as their entry point to the EU, despite Greece's acute economic problems.

	 

	UN figures released in June suggested that more than 39,000 refugees arrived in Greece by sea during the first six months of 2015, compared with 45,000 who reached Italy.
"
"
				29 April 2016
				11:10 CEST+02:00			 
					11:10 CEST+02:00				",TT/The Local,Migrants cling to trucks in bid to reach Sweden,"
Growing numbers of asylum seekers are trying to get to Sweden from Denmark by clinging to trucks, a ferry company has warned.  

	In a letter to its freight customers, HH Ferries said several migrants had been found hanging from the undersides of trucks in Helsingør in recent days in an apparent attempt to avoid ID checks. 

	The ferry operator’s CEO Henrik Rørbæk urged drivers to look out for any attempts to board ferries illegally. 

	“This is of course an unfortunate and potentially very dangerous situation that these people put themselves and others in,” he wrote in the letter, Danish news agency Ritzau reported. 

	The number of people trying to make their way from Denmark to Sweden by sea has risen in recent weeks, according to the Danish Shipowners’ Association. 

	“We’re seeing the same trend that we’ve seen in the English Channel,” the association’s director Jakob Ullegård told Ritzau. 

	“When vehicles stop on the road down to the ferry they sneak up under the trucks.” 

	Swedish police said earlier this week that they had received reports of people who had successfully entered the country on trucks. 

	Details were scarce but police said members of the pubic had seen migrants under a truck on the E6 motorway in Helsingborg, while others were seen leaving a truck at a nearby rest stop. 

	Sweden took in a record 160,000 asylum seekers in 2015 before introducing ID checks to stem the flow. 

	The influx put the country’s finances and housing under strain and Prime Minister Stefan Löfven faced a hearing at the parliamentary constitutional committee on Friday morning to answer questions about Sweden’s handling of the crisis. 

	Löfven argued that not even the migration agency had foreseen the dramatic rise in refugee arrivals that saw an average of 10,000 asylum seekers each week make their way to Sweden in the autumn. 

	Sweden put its agencies on crisis alert from August and the government took around 70 decisions designed to control the situation, Löfven said. 

	“Thanks to the work of the crisis organization, intensified information-gathering and flexible working structures the government was able in the autumn to take the necessary decisions to reduce the number of people seeking asylum in Sweden and relieve the acute pressure on the reception process,” he said. 

	The Prime Minister was summoned to the constitutional committee by politicians including Jessica Polfjärd from the centre-right Moderates who felt the government had handled the refugee crisis badly and let it get out of hand.

	""Since the government has ultimate responsibility for crisis management we think there are issues that need to be fully looked into so the Swedish people can be told why there were delays,"" Polfjärd told newspaper Dagens Nyheter when she reported the government to the constitutional committee in January. 
"
"
				20 July 2015
				17:44 CEST+02:00			 
					17:44 CEST+02:00				",TT/The Local,Sweden watches as EU migrant talks collapse,"
UPDATED: EU nations have failed to agree on how many of the refugees that have arrived in the Mediterranean this year should be taken in by each member state after months of wrangling. 

	Migration ministers from all 28 EU member states met on Monday in an attempt to finalize European Commission plans to resettle 40,000 refugees based in Italy and Greece and another 20,000 asylum seekers from outside of Europe.

	“All EU member states have to be prepared to take their responsibility. This is the worst humanitarian crisis in our time,” Sweden's migration minister Morgan Johansson told reporters when he arrived in Brussels.

	But after several hours of talks, the European Commission's plan to ask all EU member states to take in a proportion of the refugees remained in limbo as some nations asked for more time before committing to a set quota.

	Sweden, which already accepts the most asylum seekers per capita in the EU, offered ahead of the meeting to relocate just over 1,800 migrants as part of the scheme. Germany, which takes the greatest number of refugees in real terms, has signed up to 12,000.

	The Nordic country had advocated mandatory quotas, which would have seen countries allocated a set of asylum seekers based on their population size, economic growth and former engagement with refugees.

	But after several states voiced concerns about the strategy, including Hungary, Slovakia, Spain and Estonia, EU leaders agreed to make the quotas voluntary. The UK has chosen to avoid the plans entirely due to an existing EU agreement which allows it to ‘opt out’ of some issues.

	“In some member states there are extreme right-wing forces that push for an end to all commitments,” said Johansson ahead of the talks.

	“It's about creating a new order in Europe where you can't just assume that only some countries will take their responsibility,” he added.

	It is estimated that more than 1,800 migrants have died so far in 2015 while making their way to Europe from war-torn nations such as Syria, Iraq and Libya, in packed boats travelling in dangerous conditions.

	Sweden's foreign minister, Margot Wallström, recently told The Local: “What if we lived in a war zone? We would also want to flee somewhere safe with our children, or try to secure a future elsewhere. It has to do with whether or not we are serious in the EU about our guiding principles – this will affect our credibility.”

	But Sweden's open borders have been strongly criticised by opposition groups in recent months. The nationalist Sweden Democrats - backed by 12.9 percent of voters in the last general election - want the Nordic nation to limit immigration and several centre-right parties have mooted the idea of giving refugees temporary rather than permanent residency permits.
"
"
				18 April 2018
				11:40 CEST+02:00			 
					11:40 CEST+02:00				", The Local,Social Democrats call for tougher rules on labour migration to Sweden,"
Sweden's governing party the Social Democrats on Wednesday vowed to tighten labour immigration rules if they win the election in September. 

	Prime Minister Stefan Löfven and Ylva Johansson, minister for employment and integration, presented the bid at the Social Democrats' headquarters in Stockholm at a press conference attended by The Local.

	""Labour immigration should focus on professions where the right staff cannot be found on the Swedish labour market. Jobs where there is no labour shortage should primarily be filled by unemployed people already living in Sweden,"" reads the party's proposal. 

	It further suggests that a government agency should be in charge of assessing the need for certain skills in Sweden, taking into account advice from employers. By and large people outside the European Economic Area should not be offered jobs in Sweden unless there is a labour shortage in their area of work, it adds.

PREMIUM: How many work permits have been granted in 2018, and to whom?

	Asked by The Local if there is any evidence that Swedes will opt to do the kind of unskilled jobs taken by labour migrants in the country, Johansson replied:

	""The very definition of a deficit profession (professions where staffing cannot be filled by the Swedish labour market) is that there isn't someone there to do the job or enough people who apply for that job, so it would be considered a deficit profession if those people don't exist.""

	""But it's the case today that we direct quite a lot of tax money towards creating jobs and making it easier for people who speak bad Swedish and have low competency to get their first job in Sweden. I don't think it's feasible that we subsidize through taxes the jobs that go to people who come as labour migrants from the other side of the world, that's a poor use of tax funds.""

	As for whether the Social Democrats are now singling out people who came to Sweden to work through legal means as a problem, the employment and integration minister contended that ""it's not the people who are the problem, it's the employers who exploit people in vulnerable situations that are the problem"".

	And she insisted that there is no need for internationals to be concerned by an apparent sharpening in rhetoric from the Social Democrats on immigrants (including finance minister Magdalena Andersson saying earlier this week that ""Sweden doesn't need foreign cleaners"").

	""Don't be concerned, we need many labour migrants and will in the future. We need to make it simpler to come here as a labour migrant within the areas where they're needed, and we want to ensure that serious employers are not out-competed by those who abuse the system,"" Johansson concluded.

	Last year, around 15,500 people from non-EU countries received work permits in Sweden. Almost a third of those moved for jobs which required less than tertiary level education, data from the Swedish Migration Agency shows. In the first three months of 2018, around one in seven of the work permits granted fell into this category.

	Sweden's existing rules on labour migration, put together by the centre-right Alliance and the Green Party in 2008, state that it falls to employers to determine whether they need foreign workers to fill jobs. Previously this had been decided by assessments of labour shortages from the Swedish Employment Agency and unions.

	Sweden has taken in record numbers of immigrants in recent years, and concerns have previously been raised about how to plug a growing employment gap between people born in Sweden and abroad. By the end of 2017 the unemployment rate was only four percent for native Swedes, and 22.2 percent for foreign-born.
"
"
				31 August 2015
				08:16 CEST+02:00			 
					08:16 CEST+02:00				", The Local,EU calls migrant crisis emergency talks,"
The European Union has called an emergency meeting of interior and justice ministers in two weeks to find concrete measures to cope with escalating migration. 

	Luxembourg, which holds the EU's rotating presidency, announced the extraordinary meeting, to be held on September 14th, late on Sunday following a joint call for action by Germany, France and Britain.

	“The situation of migration phenomena outside and inside the European Union has recently taken unprecedented proportions,” it said in a statement.

	The number of migrants reaching the EU's borders reached nearly 340,000 during the first seven months of the year, up from 123,500 during the same period in 2014, according to the bloc's border agency Frontex.

	At least 2,300 migrants have died at sea since January during attempts to reach Europe, almost invariably on overcrowded boats chartered by people smugglers. Just last week, 71 decomposing bodies were discovered in an abandoned truck in Austria -- in a grim reminder of the ruthlessness of human traffickers.

	Swedish justice and migration minister Morgan Johansson welcomed the extraordinary meeting and called for joint efforts to tackle the Europe-wide crisis.

	“It is an issue which Sweden has been virtually alone in pushing, but it is becoming more and more obvious that it has to happen. I hope more countries realize that,” he told the TT news agency.

	The meeting in Brussels is set to discuss international cooperation, measures to prevent trafficking and how to outline a return policy.

READ ALSO: Were human smugglers on board both of death?

	Sweden recorded the next biggest number of asylum applications in the EU in 2014 after Germany -- 13 percent, although as a proportion in relation to its population size, the country is shouldering the biggest burden in the bloc.

	However there are signs that refugees are starting to shun the Nordic nation as news spreads about long waiting times and cumbersome bureaucracy in Sweden.

	A report by Sweden's Migration Board (Migrationsverket) last month suggested that the number of predicted asylum seekers in 2015 would be around 74,000, compared to the 90,000 it suggested in February. 

	“The processing times are pretty long compared to Germany, which has a fast-track lane...in Sweden it is difficult to get housing and jobs; this affects people's choice of destination country,” Anders Danielsson, head of the Swedish Migration Board, told the TT newswire in July.
"
"
				7 June 2016
				12:49 CEST+02:00			 
					12:49 CEST+02:00				", The Local,Fewer migrants cling to trucks to reach Sweden,"
Barbed wire fences installed at Helsingör in Denmark appear to have put a stop to migrants trying to cling onto trucks to cross into Sweden without going through identification checks, according to a new report. 

	Eight people have on four separate occasions attempted to skirt ID controls on the Swedish-Danish border by hiding on or underneath trucks travelling by Öresund ferries from Helsingör to Helsingborg in Sweden, according to a report sent by the Danish justice ministry to the parliament's judicial committee.

	The first incident reported to the Scandlines/HH Ferries company happened on April 12th, when two people tried to board the ferry by ""lying down on some trucks' wheel axles"", according to Danish police cited in the official document. The pair ran off after they were discovered by drivers but were never caught by police.

	Two days later, another two people were caught hiding under the wheel arches of a truck on board the ferry. They were handed over to Danish police and returned to Helsingör.

	On April 17th a person ran off after being discovered by security staff while trying to hide underneath a truck. A day later a transport worker reported seeing three people trying to hide in a vehicle at the port in Helsingör.

	The same month a Swedish police spokesperson told media that they had received reports of people successfully entering the country on trucks. Details were scarce at the time but police said members of the public had seen migrants under a truck on the E6 motorway in Helsingborg, while others were seen leaving a vehicle at a nearby rest stop. 

	According to the Danish justice ministry's report, which was written in mid-May but only grabbed headlines on Tuesday, no more attempts have been made since security was boosted and higher barbed wire fences put up at the ferry terminal in Helsingör. The extra security patrols have since been stepped down.

	Last month Swedish police told The Local, after five asylum seekers for the first time successfully crossed the famous Öresund bridge from Copenhagen to Malmö on foot, that the number of illicit border crossings may well be higher than previously known.

	""There are gaps in the net, because the border control is peripheral, it's not one hundred percent. There are probably hidden statistics,"" said police spokesperson Ewa-Gun Westford at the time.

	The number of people seeking asylum in Sweden has dropped dramatically since the new ID and border controls were introduced, with an average of less than 500 a week showing up in the Nordic country, compared to almost 10,000 during the autumn.
"
"
				26 August 2018
				13:31 CEST+02:00			 
					13:31 CEST+02:00				",TT/The Local,Sweden's school law hold-up harming young Afghans,"
Court challenges against a law letting rejected asylum seekers to stay in Sweden till they finish school have left thousands in a “completely debilitating” situation, the charity Save the Children has complained.  

	The so-called ‘gymnasium law', which came into force on July 1 offered a fast track to a student residency permit for some 9,000, mostly Afghan, students so they could complete their upper secondary studies. 

	 

	But two out of Sweden's four migration courts have refused to accept the law, arguing that it is too poorly framed to be applied, and now Sweden's Migration Agency is only ruling on those applications under the new law which merit a rejection anyway. 

	 

	“They find themselves in a new and completely debilitating situation,” said Eva Harnesk, who runs the charity's telephone support service. 

	 

	“For three year's we've been observing how uncertainty about their future in Sweden affects these youths. The gymnasium law represented a really big hope for many of them.” 

	 

READ ALSO: Swedish student's protest puts issue of Afghan deportations in the spotlight

	 

	The Migration Court of Appeal is expected to rule on whether the law should stand or be rejected, but no date for the decision has been given. 

	 

	Of the 197 calls Save the Children has received on its line for immigrants and asylum seekers since July, the overwhelming majority have been about the law. 

	 

	“Every day feels like a year. It's a pain to have to wait to long,” Ahmad, one of the youths, told TT. 

	 

	He said that when he had fled his home in Iran, where he lived as a paperless Afghan migrant, he had little idea of where he was going. 

	 

	“I knew, like, absolutely nothing about Europe,” he said. “I thought it was like one country.” 

	 

	Harnesk said that several of the youths were homeless and stuggling to feed themselves during the wait, as they no longer quality for support from Sweden's social services. 

	 

	She said there was also “enormous frustration” over the law's arbitrary cut-off lines, noting that a boy who had to wait 13 months for his first ruling from the Migration Agency was not eligible to apply under the law, but if it had instead taken 15 months, he would have been 

	 

	“It's become, as the youth say themselves, a lottery in the sense of who can stay and who can't,” she said. 

	 

	The law was rushed through Sweden's parliament by the red-green coalition government with the support of the Left Party and the Centre Party.  
"
"
				5 November 2010
				10:55 CET+01:00			 
					10:55 CET+01:00				",TT/The Local,Swedish firms exploiting labour migrants: report,"
Swedish companies are exploiting labour migration legislation, with work permits being sold for up to 30,000 kronor ($4,560) and either non-existent or poorly paid jobs offered in return. 

The money is then stolen by the business owners, according to a report in the Dagens Nyheter (DN) daily on Friday.
Sweden's Hotel & Restaurant Workers Union (Hotell och Restaurang Facket - HRF) argues that an under-class labour force is being created in Sweden, with low pay and non-existent job security. 
""We come into contact with people who work 12 hours a day, seven days per week, often on monthly salaries of 2,000-3,000 kronor,"" said HRF Chairwoman Ella Niia in statement on its website.
Niia continued to say that when exploited workers complain at the conditions under which they are working, they risk losing their work permits.
""If they protest or go to the unions they are then sacked and lose their right to reside in Sweden. The system which has been built up by the government means that it is the employer who in principle decides if you get to stay or not,"" she said.
""Who would then protest against poor working conditions or pay that does not arrive?""
Ingemo Melin Olsson at Stockholm border police, explained to DN that the law opening up labour migration to Sweden invites abuse by unscrupulous business people, arguing that labour migration is the next major area of trafficking.
""There are companies that use the fact that people are so desperate that they are prepared to work 15 hours a day, more of less free, to perhaps get a permanent residence permit four years later,"" she said.
Migration Minister Tobias Billström confirmed that he takes the information seriously and has summoned officials from the Migration Board (Migrationsverket) to inform him about the situation.
""I plan to call together labour market representatives to to hear how they see the situation,"" Billström said.
He explained that the government's position is that labour market immigration is needed and that the Migration Board should handle the applications.
""Sham employment should be combated, but the need for labour is going to grow. The system's foundation is good,"" Billström said."
